SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,NBA_FANTASY_PTS,DD2,TD3,TEAM_COUNT,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,24,9.421458333333334,1.4166666666666667,3.25,0.7916666666666666,1.875,0.5833333333333334,0.75,0.375,1.4166666666666667,1.7916666666666667,0.2916666666666667,0.25,0.5,0.16666666666666666,0.16666666666666666,1.125,0.5833333333333334,4.208333333333333,8.545833333333333,0.0,0.0,1,0.046,1.17,7.1,0.039,0.156,0.096,6.1,0.558,0.588,0.172,99.45,0.091,19.625
2025-26,1631260,AJ Green,1610612749,MIL,26.0,78,29.101709401709403,3.358974358974359,7.923076923076923,2.9743589743589745,7.102564102564102,0.6794871794871795,0.7948717948717948,0.3717948717948718,2.358974358974359,2.730769230769231,1.9487179487179487,0.9615384615384616,0.5,0.10256410256410256,0.1794871794871795,2.2948717948717947,1.0384615384615385,10.371794871794872,17.41794871794872,0.0,0.0,1,0.09,2.03,17.6,0.013,0.08,0.046,8.7,0.612,0.627,0.135,99.28,0.058,60.30769230769231
2025-26,1642358,AJ Johnson,1610612742,DAL,21.0,48,9.446527777777778,1.1875,3.6666666666666665,0.25,1.1875,0.7083333333333334,0.8333333333333334,0.2916666666666667,0.8541666666666666,1.1458333333333333,0.9791666666666666,0.625,0.22916666666666666,0.0625,0.5,0.625,0.5625,3.3333333333333335,6.427083333333333,0.0,0.0,2,0.151,1.57,17.3,0.027,0.089,0.057,11.1,0.358,0.413,0.195,102.05,0.045,20.166666666666668
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,36,27.91550925925926,5.5,11.055555555555555,1.6944444444444444,4.361111111111111,3.4722222222222223,4.527777777777778,1.4166666666666667,4.388888888888889,5.805555555555555,2.6666666666666665,1.0555555555555556,0.5833333333333334,0.2777777777777778,0.3888888888888889,1.7222222222222223,3.361111111111111,16.166666666666668,28.66111111111111,0.1111111111111111,0.0,1,0.13,2.53,15.9,0.052,0.148,0.102,6.3,0.574,0.62,0.213,99.99,0.117,58.22222222222222
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,57,13.697046783625732,1.8421052631578947,4.421052631578948,1.1754385964912282,2.982456140350877,0.6140350877192983,0.7192982456140351,0.22807017543859648,0.7894736842105263,1.0175438596491229,1.0526315789473684,0.6666666666666666,0.47368421052631576,0.08771929824561403,0.12280701754385964,1.263157894736842,0.8070175438596491,5.473684210526316,9.291228070175439,0.0,0.0,1,0.105,1.58,16.3,0.016,0.054,0.035,10.4,0.55,0.578,0.159,99.63,0.063,28.385964912280702
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,45,29.665555555555557,4.711111111111111,11.377777777777778,2.3333333333333335,6.155555555555556,2.0444444444444443,2.466666666666667,1.0666666666666667,3.088888888888889,4.155555555555556,1.9111111111111112,1.4,0.5777777777777777,0.5111111111111111,0.8,2.7555555555555555,2.5555555555555554,13.8,23.520000000000003,0.0,0.0,1,0.091,1.37,12.2,0.034,0.102,0.067,9.0,0.517,0.554,0.19,103.09,0.067,63.8
2025-26,1630598,Aaron Wiggins,1610612760,OKC,27.0,65,21.75353846153846,3.5538461538461537,8.246153846153845,1.476923076923077,4.153846153846154,0.8153846153846154,1.1076923076923078,0.6307692307692307,2.4307692307692306,3.0615384615384613,1.676923076923077,1.2461538461538462,0.9230769230769231,0.4307692307692308,0.4307692307692308,1.2769230769230768,0.8923076923076924,9.4,18.404615384615383,0.0,0.0,1,0.11,1.35,14.3,0.028,0.101,0.066,10.7,0.521,0.538,0.194,101.47,0.082,45.93846153846154
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,72,27.60615740740741,5.486111111111111,12.38888888888889,1.9027777777777777,5.527777777777778,0.9166666666666666,1.2222222222222223,1.4444444444444444,2.75,4.194444444444445,1.8194444444444444,1.4861111111111112,0.8333333333333334,0.6805555555555556,0.4027777777777778,2.6805555555555554,1.1805555555555556,13.791666666666666,24.609722222222224,0.013888888888888888,0.0,1,0.098,1.22,11.2,0.048,0.097,0.072,9.2,0.52,0.533,0.21,104.58,0.069,60.236111111111114
2025-26,1642380,Adama Bal,1610612763,MEM,22.0,8,30.164375,3.5,8.5,2.25,5.5,1.125,1.25,0.75,2.375,3.125,2.375,0.75,1.125,0.125,0.5,3.375,1.375,10.375,20.6875,0.0,0.0,1,0.119,3.17,19.6,0.022,0.08,0.049,6.2,0.544,0.573,0.134,105.82,0.052,66.25
2025-26,1641737,Adem Bona,1610612755,PHI,23.0,71,17.38255868544601,1.8450704225352113,3.0985915492957745,0.028169014084507043,0.08450704225352113,1.1267605633802817,1.591549295774648,1.8028169014084507,2.5211267605633805,4.323943661971831,0.4507042253521127,0.7887323943661971,0.4225352112676056,1.1549295774647887,0.36619718309859156,2.1549295774647885,1.4225352112676057,4.845070422535211,14.653521126760564,0.014084507042253521,0.0,1,0.034,0.57,8.9,0.099,0.138,0.119,15.6,0.6,0.638,0.108,102.35,0.069,36.971830985915496
2025-26,1642876,Adou Thiero,1610612747,LAL,22.0,25,5.956133333333334,0.64,1.24,0.04,0.12,0.56,0.88,0.36,0.76,1.12,0.4,0.36,0.28,0.08,0.2,0.76,0.6,1.88,4.544,0.0,0.0,1,0.094,1.11,16.9,0.068,0.139,0.104,15.3,0.532,0.578,0.143,100.41,0.054,12.6
2025-26,1642349,Ajay Mitchell,1610612760,OKC,24.0,57,25.83856725146199,5.017543859649122,10.350877192982455,1.0701754385964912,3.087719298245614,2.473684210526316,2.8421052631578947,0.7017543859649122,2.6315789473684212,3.3333333333333335,3.6140350877192984,1.4210526315789473,1.2456140350877194,0.3157894736842105,0.45614035087719296,2.087719298245614,2.6140350877192984,13.578947368421053,26.263157894736842,0.017543859649122806,0.0,1,0.194,2.54,21.8,0.027,0.093,0.062,8.6,0.536,0.585,0.21,102.48,0.116,55.24561403508772
2025-26,201143,Al Horford,1610612744,GSW,40.0,45,21.537444444444443,3.066666666666667,7.2,1.6444444444444444,4.555555555555555,0.4888888888888889,0.5777777777777777,0.9777777777777777,3.888888888888889,4.866666666666666,2.577777777777778,0.9333333333333333,0.6666666666666666,1.1333333333333333,0.15555555555555556,1.1333333333333333,0.4666666666666667,8.266666666666667,22.439999999999998,0.0,0.0,1,0.171,2.76,23.5,0.043,0.184,0.111,8.5,0.54,0.554,0.163,101.08,0.104,45.44444444444444
2025-26,1630828,Alex Antetokounmpo,1610612749,MIL,24.0,6,3.439722222222222,0.5,1.3333333333333333,0.3333333333333333,1.1666666666666667,1.8333333333333333,2.5,0.3333333333333333,0.6666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,1.1666666666666667,3.1666666666666665,4.95,0.0,0.0,1,0.083,1.0,5.9,0.083,0.138,0.113,5.9,0.5,0.651,0.314,108.15,0.196,7.666666666666667
